Hanzi,Meaning,Reading,Color,Mean Word,Sound,Simplified,Traditional,Also Written,Ruby,Silhouette,
质量中心,the center of mass,zhìliàng zhōngxīn,质量中心,,,,,,,,
绕地球运行,to orbit the Earth,rào dìqiú yùnxíng,绕地球运行,,,,,,,,
椭圆,"ellipse, elliptic<div>oval</div>",tuǒyuán,椭圆,,,,,,,,
三角形,triangle,sānjiǎo xíng,三角形,,,,,,,,
路径,"path, route, method (w/ l)",lùjìng,路径,,,,,,,,
睡得深,to sleep deeply,shuì dé shēn,睡得深,,,,,,,,
睡得浅,to sleep lightly,shuì dé qiǎn,睡得浅,,,,,,,,
彩虹糖,skittles,cǎihóng táng,彩虹糖,,,,,,,,
迷信,superstition<div>superstitious</div>,"""<span class=""""tone2"""">mí</span><span class=""""tone4"""">xìn</span> <!-- mi xin -->""","""<span class=""""tone2"""">迷</span><span class=""""tone4"""">信</span>""",,[sound:迷信_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>迷<rt>mí</rt></ruby></span><span class=""""tone4""""><ruby>信<rt>xìn</rt></ruby></span>""",_ _,
十年,decade,shí nián,十年,,,,,,,,
跟踪消息,to follow the news,gēnzōng xiāoxī,跟踪消息,,,,,,,,
我猜最可能是。。。,My best guess is...,Wǒ cāi zuì kěnéng shì...,我猜最可能是。。。,,,,,,,,
失眠,insomnia<div>to suffer from insomnia</div>,shīmián,失眠,,,,,,,,
保健品,health product,bǎojiàn pǐn,保健品,,,,,,,,
明智,"wise, sensible, judicious (w/ m)","""<span class=""""tone2"""">míng</span><span class=""""tone4"""">zhì</span> <!-- ming zhi -->""","""<span class=""""tone2"""">明</span><span class=""""tone4"""">智</span>""",,[sound:明智_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>明<rt>míng</rt></ruby></span><span class=""""tone4""""><ruby>智<rt>zhì</rt></ruby></span>""",_ _,
广义,broad sense<div>general sense</div>,guǎngyì,广义,,,,,,,,
广义相对论,General Relativity,guǎngyì xiāngduìlùn,广义相对论,,,,,,,,
狭义相对论,special relativity,xiáyì xiāngduìlùn,狭义相对论,,,,,,,,
狭义,in a narrow sense<div>in a restricted sense</div>,xiáyì,狭义,,,,,,,,
尿床,to wet the bed,niàochuáng,尿床,,,,,,,,
罗马,Rome,Luómǎ,罗马,,,,,,,,
香港,Hong Kong,xiānggǎng,香港,,,,,,,,
体现,to reflect<br>to embody,"""<span class=""""tone3"""">tǐ</span><span class=""""tone4"""">xiàn</span> <!-- ti xian -->""","""<span class=""""tone3"""">体</span><span class=""""tone4"""">现</span>""",,[sound:体现_google_zh-CN.mp3],,體現,,"""<span class=""""tone3""""><ruby>体<rt>tǐ</rt></ruby></span><span class=""""tone4""""><ruby>现<rt>xiàn</rt></ruby></span>""",_ _,
吃力,strenuous<br>laborious,chīlì,吃力,,,,,,,,
路程,distance travelled<br>course (of development),"""<span class=""""tone4"""">lù</span><span class=""""tone2"""">chéng</span> <!-- lu cheng -->""","""<span class=""""tone4"""">路</span><span class=""""tone2"""">程</span>""",,[sound:路程_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>路<rt>lù</rt></ruby></span><span class=""""tone2""""><ruby>程<rt>chéng</rt></ruby></span>""",_ _,
终点,the end<br>end point<br>destination,zhōngdiǎn,终点,,,,,,,,
轻轨,transit system<br>light rail<br>streetcar<br>metro,qīngguǐ,轻轨,,,,,,,,
铁轨,rail<br>track<br>railroad track,tiěguǐ,铁轨,,,,,,,,
正轨,"""""""the right track""""""",zhèngguǐ,正轨,,,,,,,,
度假,to go on a holiday (w/ d),dùjià,度假,,,,,,,,
圈,"circle (not exact - loop, donut, anything with hole)",quān,圈,,,,,,,,
完善,perfect (not 完美)<br>to perfect (v.),wánshàn,完善,,,,,,,,
坡,a slope (like the side of a hill),pō,坡,,,,,,,_,
绑,to tie (w/ b),bǎng,绑,,,,,,,,
白白。。。,...for nothing<br>...in vain,báibái...,白白,,,,,,,,
高峰,peak (literal and fig. - not 顶端)<br>summit,gāofēng,高峰,,,,,,,,
专用,designated...<br>dedicated<br>for special use,zhuān yòng,专用,,,,,,,,
好在。。。,fortunately... (w/ h),hǎo zài...,好在...,,,,,,,_ _,
见闻,what one has seen and hear<br>experiences,jiànwén,见闻,,,,,,,,
造反,to rebel (w/ z)<div>to revolt</div>,zàofǎn,造反,,,,,,,,
伤口,wound (w/ sh)<div>cut</div>,shāngkǒu,伤口,,,,,,,,
皱眉,"""to knit one's brow<div>to frown</div>""",zhòuméi,皱眉,,,,,,,,
萝卜白菜各有所爱,"""<div>to each his own</div>there's a lid for every pot""",luóbo báicài gè yǒu suǒ ài,萝卜白菜各有所爱,,,,,,,,
丰腴,plump<div>full-bodied</div><div>full-figured</div>,"""<span class=""""tone1"""">fēng</span><span class=""""tone2"""">yú</span> <!-- feng yu -->""","""<span class=""""tone1"""">丰</span><span class=""""tone2"""">腴</span>""",,[sound:丰腴_google_zh-CN.mp3],,豐腴,,"""<span class=""""tone1""""><ruby>丰<rt>fēng</rt></ruby></span><span class=""""tone2""""><ruby>腴<rt>yú</rt></ruby></span>""",_ _,
情人眼里出西施,beauty is in the eye of the beholder<div>lit. in the eyes of a lover appears Xishi</div>,qíngrén yǎn lǐ chū Xīshī,情人眼里出西施,,,,,,,,
害群之马,"black sheep, rotten apple<div>lit. a horse that brings trouble to its herd</div>",hàiqúnzhīmǎ,害群之马,,,,,,,,
星座,constellation<div>astrological sign</div>,xīngzuò,星座,,,,,,,,
在伤口上撒盐,to rub salt in the wound,zài shāngkǒu shàng sā yán,在伤口上撒盐,,,,,,,,
脚跟,heel,jiǎogēn,脚跟,,,,,,,,
独立日,Independence Day<div>July 4th</div>,dúlì rì,独立日,,,,,,,,
星际大战,Star Wars,Xīngjì Dàzhàn,星际大战,,,,,,,,
憎恶,to abhor<div>to detest</div><div>to have a special hatred</div>,zēngwù,憎恶,,,,,,,,
咬痕,bite (mark),yǎohén,咬痕,,,,,,,,
边境,border (not 边界)<div>frontier</div>,biānjìng,边境,,,,,,,,
括号,brackets<div>parentheses</div>,kuòhào,括号,,,,,,,,
护栏,guardrail<div>protective barrier</div>,hùlán,护栏,,,,,,,,
围栏,fence,wéilán,围栏,,,,,,,,
指示牌,sign (specifically for directions),zhǐshì pái,指示牌,,,,,,,,
礼让,to yield (to another)<div>to show consideration (for another)</div><div>to show courtesy</div><div>courtesy</div>,lǐràng,礼让,,,,,,,,
以上几个选择,the above options,yǐshàng jǐ gè xuǎnzé,以上几个选择,,,,,,,,
学校所在的城市,the city in which the school is located,xuéxiào suǒzài de chéngshì,学校所在的城市,,,,,,,,
哈雷,Harley-Davidson,hāléi,哈雷,,,,,,,,
凶巴巴,fierce<div>savage</div><div>harsh</div>,xiōng bābā,凶巴巴,,,,,,,_ _ _,
闯红灯,to run a red light,"""<span class=""""tone3"""">chuǎng</span> <span class=""""tone2"""">hóng</span><span class=""""tone1"""">dēng</span> <!-- chuang hong deng -->""","""<span class=""""tone3"""">闯</span><span class=""""tone2"""">红</span><span class=""""tone1"""">灯</span>""",,[sound:闯红灯_google_zh-CN.mp3],,闖紅燈,,"""<span class=""""tone3""""><ruby>闯<rt>chuǎng</rt></ruby></span><span class=""""tone2""""><ruby>红<rt>hóng</rt></ruby></span><span class=""""tone1""""><ruby>灯<rt>dēng</rt></ruby></span>""",_ _ _,
生活方式,lifestyle,shēnghuó fāngshì,生活方式,,,,,,,,
冲浪,to surf,"""<span class=""""tone1"""">chōng</span><span class=""""tone4"""">làng</span> <!-- chong lang -->""","""<span class=""""tone1"""">冲</span><span class=""""tone4"""">浪</span>""",,[sound:冲浪_google_zh-CN.mp3],,衝浪,,"""<span class=""""tone1""""><ruby>冲<rt>chōng</rt></ruby></span><span class=""""tone4""""><ruby>浪<rt>làng</rt></ruby></span>""",_ _,
航海,to sail (specifically by sea),hánghǎi,航海,,,,,,,,
钻孔,to drill (a hole),zuānkǒng,钻孔,,,,,,,_ _,
电钻,electric drill,diànzuàn,电钻,,,,,,,,
持枪,armed<div>to arm oneself (with guns)</div><div>to bear arms</div>,chíqiāng,持枪,,,,,,,,
俱乐部,a club (organization),"""<span class=""""tone4"""">jù</span> <span class=""""tone4"""">lè</span> <span class=""""tone4"""">bù</span> <!-- ju le bu -->""","""<span class=""""tone4"""">俱</span><span class=""""tone4"""">乐</span><span class=""""tone4"""">部</span>""",,[sound:俱乐部_google_zh-CN.mp3],,俱樂部,,"""<span class=""""tone4""""><ruby>俱<rt>jù</rt></ruby></span><span class=""""tone4""""><ruby>乐<rt>lè</rt></ruby></span><span class=""""tone4""""><ruby>部<rt>bù</rt></ruby></span>""",_ _ _,
发带,headband,"""<span class=""""tone4"""">fà</span><span class=""""tone4"""">dài</span> <!-- fa dai -->""","""<span class=""""tone4"""">发</span><span class=""""tone4"""">带</span>""",,[sound:发带_google_zh-CN.mp3],,髮帶,,"""<span class=""""tone4""""><ruby>发<rt>fà</rt></ruby></span><span class=""""tone4""""><ruby>带<rt>dài</rt></ruby></span>""",_ _,
无限量,unlimited,wúxiàn liàng,无限量,,,,,,,_ _ _,
选项,option (not 选择),xuǎnxiàng,选项,,,,,,,,
跑步机,treadmill (exercise equipment),"""<span class=""""tone3"""">pǎo</span><span class=""""tone4"""">bù</span> <span class=""""tone1"""">jī</span> <!-- pao bu ji -->""","""<span class=""""tone3"""">跑</span><span class=""""tone4"""">步</span><span class=""""tone1"""">机</span>""",,[sound:跑步机_google_zh-CN.mp3],,跑步機,,"""<span class=""""tone3""""><ruby>跑<rt>pǎo</rt></ruby></span><span class=""""tone4""""><ruby>步<rt>bù</rt></ruby></span><span class=""""tone1""""><ruby>机<rt>jī</rt></ruby></span>""",_ _ _,
滤镜,filter (photography),lǜjìng,滤镜,,,,,,,,
限量,limit (n.)<div>to limit (v.)</div>,xiànliáng,限量,,,,,,,_ _,
单轮车,unicycle,dānlún chē,单轮车,,,,,,,,
三轮车,tricycle,sān lún chē,三轮车,,,,,,,,
注意力,attention (n.),zhùyì lì,注意力,,,,,,,_ _ _,
分散,to scatter<div>to disperse</div>,fēnsàn,分散,,,,,,,_ _,
步伐,stride<div>pace</div>,"""<span class=""""tone4"""">bù</span><span class=""""tone2"""">fá</span> <!-- bu fa -->""","""<span class=""""tone4"""">步</span><span class=""""tone2"""">伐</span>""",,[sound:步伐_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>步<rt>bù</rt></ruby></span><span class=""""tone2""""><ruby>伐<rt>fá</rt></ruby></span>""",_ _,
清凉,"cool, refreshing (not 凉快)<div>skimpy, revealing</div>","""<span class=""""tone1"""">qīng</span><span class=""""tone2"""">liáng</span> <!-- qing liang -->""","""<span class=""""tone1"""">清</span><span class=""""tone2"""">凉</span>""",,[sound:清凉_google_zh-CN.mp3],,清涼,,"""<span class=""""tone1""""><ruby>清<rt>qīng</rt></ruby></span><span class=""""tone2""""><ruby>凉<rt>liáng</rt></ruby></span>""",_ _,
健壮,"fit (as in built, robust, sturdy, healthy)",jiànzhuàng,健壮,,,,,,,,
嫌犯,suspect (of crime),xiánfàn,嫌犯,,,,,,,,
凶手,murderer,xiōngshǒu,凶手,,,,,,,,
屁股,butt,pìgu,屁股,,,,,,,,
挺直,upright,tǐngzhí,挺直,,,,,,,,
颠倒,to turn upside-down<div>to turn inside-out</div><div>confused</div>,"""<span class=""""tone1"""">diān</span><span class=""""tone3"""">dǎo</span> <!-- dian dao -->""","""<span class=""""tone1"""">颠</span><span class=""""tone3"""">倒</span>""",,[sound:颠倒_google_zh-CN.mp3],,顛倒,,"""<span class=""""tone1""""><ruby>颠<rt>diān</rt></ruby></span><span class=""""tone3""""><ruby>倒<rt>dǎo</rt></ruby></span>""",_ _,
摆臂,"""to swing one's arms""",bǎi bì,摆臂,,,,,,,,
脉络,veins,màiluò,脉络,,,,,,,_ _,
腋窝,armpit,yèwō,腋窝,,,,,,,,
背,back (anotomical),bèi,背,,,,,,,,
躯干,torso,qūgàn,躯干,,,,,,,,
上半身,upper body,shàngbàn shēn,上半身,,,,,,,,
下半身,lower body,xiàbàn shēn,下半身,,,,,,,,
鼻孔,nostrils,bíkǒng,鼻孔,,,,,,,,
舌,tounge,shé,舌,,,,,,,,
眼皮,eyelid,yǎnpí,眼皮,,,,,,,,
胸部,chest<div>bosom</div>,xiōngbù,胸部,,,,,,,_ _,
指关节,knuckles,zhǐ guān jié,指关节,,,,,,,,
食指,index finger,shí zhĭ,食指,,,,,,,,
中指,middle finger,zhōng zhĭ,中指,,,,,,,,
无名指,ring finger,wú míng zhĭ,无名指,,,,,,,,
小拇指,pinky finger,xiǎo mǔ zhǐ,小拇指,,,,,,,,
手掌,"""palm (of one's hand)""",shǒuzhǎng,手掌,,,,,,,,
脏腑,internal organs (w/ z),zàngfǔ,脏腑,,,,,,,_ _,
肝,liver,"""<span class=""""tone1"""">gān</span> <!-- gan -->""","""<span class=""""tone1"""">肝</span>""",,[sound:肝_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>肝<rt>gān</rt></ruby></span>""",_,
胃,stomach,wèi,胃,,,,,,,_,
大肠,large intestine,dà cháng,大肠,,,,,,,,
小肠,small intestine,xiǎo cháng,小肠,,,,,,,,
阴部,genitals,yīnbù,阴部,,,,,,,,
腰胯,hips,"""<span class=""""tone1"""">yāo</span> <span class=""""tone4"""">kuà</span> <!-- yao kua -->""","""<span class=""""tone1"""">腰</span><span class=""""tone4"""">胯</span>""",,[sound:腰胯_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>腰<rt>yāo</rt></ruby></span><span class=""""tone4""""><ruby>胯<rt>kuà</rt></ruby></span>""",_ _,
膀胱,bladder,pángguāng,膀胱,,,,,,,,
大腿,thigh,"""<span class=""""tone4"""">dà</span><span class=""""tone3"""">tuǐ</span> <!-- da tui -->""","""<span class=""""tone4"""">大</span><span class=""""tone3"""">腿</span>""",,[sound:大腿_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>大<rt>dà</rt></ruby></span><span class=""""tone3""""><ruby>腿<rt>tuǐ</rt></ruby></span>""",_ _,
小腿,lower leg,"""<span class=""""tone3"""">xiǎo</span><span class=""""tone3"""">tuǐ</span> <!-- xiao tui -->""","""<span class=""""tone3"""">小</span><span class=""""tone3"""">腿</span>""",,[sound:小腿_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>小<rt>xiǎo</rt></ruby></span><span class=""""tone3""""><ruby>腿<rt>tuǐ</rt></ruby></span>""",_ _,
胫,shin,jìng,胫,,,,,,,,
腿肚子,calf (of the leg),tuǐdùzi,腿肚子,,,,,,,,
脚底,soles (of the foot),jiǎodǐ,脚底,,,,,,,,
脚脖子,ankle,jiǎo bózi,脚脖子,,,,,,,,
细胞,cell (biology),xìbāo,细胞,,,,,,,,
把手,handle,bǎshǒu,把手,,,,,,,,
椭圆机,elliptical machine (excercise),tuǒyuán jī,椭圆机,,,,,,,,
倒数第二堂课,the second to last lesson (w/ d),dàoshǔ dì èr táng ke4,倒数第二堂课,,,,,,,,
处方,to prescribe<br>a medical prescription,"""<span class=""""tone3"""">chǔ</span><span class=""""tone1"""">fāng</span> <!-- chu fang -->""","""<span class=""""tone3"""">处</span><span class=""""tone1"""">方</span>""",,[sound:处方_google_zh-CN.mp3],,處方,,"""<span class=""""tone3""""><ruby>处<rt>chǔ</rt></ruby></span><span class=""""tone1""""><ruby>方<rt>fāng</rt></ruby></span>""",_ _,
开处方,to make a prescription,kāi chǔfāng,开处方,,,,,,,_ _ _,
可行,feasible,kěxíng,可行,,,,,,,,
运营,"operation, service<br>to be in operation, to be in service","""<span class=""""tone4"""">yùn</span><span class=""""tone2"""">yíng</span> <!-- yun ying -->""","""<span class=""""tone4"""">运</span><span class=""""tone2"""">营</span>""",,[sound:运营_google_zh-CN.mp3],,運營,,"""<span class=""""tone4""""><ruby>运<rt>yùn</rt></ruby></span><span class=""""tone2""""><ruby>营<rt>yíng</rt></ruby></span>""",_ _,
博主,blogger,bó zhǔ,博主,,,,,,,,
思维,"thinking, thought (not 思想 or 思考 - more like active consideration)","""<span class=""""tone1"""">sī</span><span class=""""tone2"""">wéi</span> <!-- si wei -->""","""<span class=""""tone1"""">思</span><span class=""""tone2"""">维</span>""",,[sound:思维_google_zh-CN.mp3],,思維,,"""<span class=""""tone1""""><ruby>思<rt>sī</rt></ruby></span><span class=""""tone2""""><ruby>维<rt>wéi</rt></ruby></span>""",_ _,
折射,to refract<br>refraction,"""<span class=""""tone2"""">zhé</span><span class=""""tone4"""">shè</span> <!-- zhe she -->""","""<span class=""""tone2"""">折</span><span class=""""tone4"""">射</span>""",,[sound:折射_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>折<rt>zhé</rt></ruby></span><span class=""""tone4""""><ruby>射<rt>shè</rt></ruby></span>""",_ _,
恶性的循环,vicious cycle,èxìng de xúnhuán,恶性的循环,,,,,,,,
循环,a cycle<br>to cycle<br>circulation,"""<span class=""""tone2"""">xún</span><span class=""""tone2"""">huán</span> <!-- xun huan -->""","""<span class=""""tone2"""">循</span><span class=""""tone2"""">环</span>""",,[sound:循环_google_zh-CN.mp3],,循環,,"""<span class=""""tone2""""><ruby>循<rt>xún</rt></ruby></span><span class=""""tone2""""><ruby>环<rt>huán</rt></ruby></span>""",_ _,
恶性,vicious (cycle)<br>malignant (producing evil)<br>runaway...,èxìng,恶性,,,,,,,,
白热化,white-hot<br>intense,báirè huà,白热化,,,,,,,,
挫折感,"frusteration (feeling of setback, defeat)","""<span class=""""tone4"""">cuò</span><span class=""""tone2"""">zhé</span> <span class=""""tone3"""">gǎn</span> <!-- cuo zhe gan -->""","""<span class=""""tone4"""">挫</span><span class=""""tone2"""">折</span><span class=""""tone3"""">感</span>""",,[sound:挫折感_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>挫<rt>cuò</rt></ruby></span><span class=""""tone2""""><ruby>折<rt>zhé</rt></ruby></span><span class=""""tone3""""><ruby>感<rt>gǎn</rt></ruby></span>""",_ _ _,
不确定性,uncertainty,bù quèdìngxìng,不确定性,,,,,,,_ _ _ _,
确定性,certainty<br>determinacy (predictability),quèdìng xìng,确定性,,,,,,,_ _ _,
⼴场,"plaza, square",guǎngchǎng,⼴场,,,,,,,,
鲜明的灯火,bright lights,xiānmíng de dēnghuǒ,鲜明的灯火,,,,,,,,
粘,"to adhere, to bond, to glue (w/ zh)","""<span class=""""tone1"""">zhān</span> <!-- zhan -->""","""<span class=""""tone1"""">粘</span>""",,,,,,"""<span class=""""tone1""""><ruby>粘<rt>zhān</rt></ruby></span>""",_,
深受,to receive deeply,"""<span class=""""tone1"""">shēn</span><span class=""""tone4"""">shòu</span> <!-- shen shou -->""","""<span class=""""tone1"""">深</span><span class=""""tone4"""">受</span>""",,[sound:深受_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>深<rt>shēn</rt></ruby></span><span class=""""tone4""""><ruby>受<rt>shòu</rt></ruby></span>""",_ _,
球员们,players (of a ball related sport),qiúyuán men,球员们,,,,,,,,
更衣室,locker room<br>changing room,gēngyī shì,更衣室,,,,,,,,
结论,conclusion (logical)<br>to conclude,"""<span class=""""tone2"""">jié</span><span class=""""tone4"""">lùn</span> <!-- jie lun -->""","""<span class=""""tone2"""">结</span><span class=""""tone4"""">论</span>""",,[sound:结论_google_zh-CN.mp3],,結論,,"""<span class=""""tone2""""><ruby>结<rt>jié</rt></ruby></span><span class=""""tone4""""><ruby>论<rt>lùn</rt></ruby></span>""",_ _,
解说员,commentator (w/ j),jiěshuō yuán,解说员,,,,,,,,
借口,an excuse,jièkǒu,借口,,,,,,,,
钻石,diamond,zuan4shi2,钻石,,,,,,,,
景色,scenery (w/ j),"""<span class=""""tone3"""">jǐng</span><span class=""""tone4"""">sè</span> <!-- jing se -->""","""<span class=""""tone3"""">景</span><span class=""""tone4"""">色</span>""",,[sound:景色_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>景<rt>jǐng</rt></ruby></span><span class=""""tone4""""><ruby>色<rt>sè</rt></ruby></span>""",_ _,
救护车,ambulance,jiùhù chē,救护车,,,,,,,,
救护,to rescue<br>to administer first aid,jiùhù,救护,,,,,,,,
均匀,"even, evenly<br>well distributed",jūnyún,均匀,,,,,,,,
开幕式,opening ceremony,kāimù shì,开幕式,,,,,,,_ _ _,
烤鸭,roast duck,kǎoyā,烤鸭,,,,,,,,
增长数,growth (amount of),<div>zēngzhǎng shù</div>,增长数,,,,,,,_ _ _,
净增长数,net growth,jìng zēngzhǎng shù,净增长数,,,,,,,,
净,net- (prefix),jìng,净,,,,,,,,
总数,"total (as in number)<br>sum, aggregate",zǒngshù,总数,,,,,,,_ _,
出生率,birth rate,chūshēnglǜ,出生率,,,,,,,,
比率,ratio<br>rate,bǐlǜ,比率,,,,,,,,
卵子,ovary<br>eggs,luǎnzǐ,卵子,,,,,,,,
转嫁给他们...,to pass on to them...,"""<span class=""""tone3"""">zhuǎn</span><span class=""""tone4"""">jià</span> <span class=""""tone3"""">gěi</span> <span class=""""tone1"""">tā</span><span class=""""tone5"""">men</span> <span class=""""tone5"""">.</span> <span class=""""tone5"""">.</span> <span class=""""tone5"""">.</span> <!-- zhuan jia gei ta men . . . -->""","""<span class=""""tone3"""">转</span><span class=""""tone4"""">嫁</span><span class=""""tone3"""">给</span><span class=""""tone1"""">他</span><span class=""""tone5"""">们</span>...""",,[sound:转嫁给他们_google_zh-CN.mp3],,轉嫁給他們,,"""<span class=""""tone3""""><ruby>转<rt>zhuǎn</rt></ruby></span><span class=""""tone4""""><ruby>嫁<rt>jià</rt></ruby></span><span class=""""tone3""""><ruby>给<rt>gěi</rt></ruby></span><span class=""""tone1""""><ruby>他<rt>tā</rt></ruby></span><span class=""""tone5""""><ruby>们<rt>men</rt></ruby></span>...""",_ _ _ _ _...,
转嫁,"to pass on (blame, cost, something unpleasant...)",zhuǎnjià,转嫁,,,,,,,,
育儿,to raise a child (w/ 育),"""yù'ér""",育儿,,,,,,,,
除去A，。。。,excluding A ...,chúqù A。。。,除去A，。。。,,,,,,,,
人生观,outlook on life,rénshēng guān,人生观,,,,,,,,
托运,"to check (bags, etc.)",tuōyùn,托运,,,,,,,,
误,to delay (w/ w),wù,误,,,,,,,_,
人性化,user-friendly<br>people-oriented,rénxìng huà,人性化,,,,,,,,
异性,the opposite sex,yìxìng,异性,,,,,,,,
封,to seal<br>measure word for sealed objects,fēng,封,,,,,,,_,
目光,sight (n. - a thing to see w/ m)<br>gaze,mùguāng,目光,,,,,,,,
浇,to pour (liquid)<br>to water (flowers)<br>to cast (metal),jiāo,浇,,,,,,,,
调料,"seasonings, flavorings",tiáoliào,调料,,,,,,,,
指头,"finger, toe",zhǐtou,指头,,,,,,,_ _,
腰带,belt,yāodài,腰带,,,,,,,,
笔画,stroke (of a chinese character),bǐhuà,笔画,,,,,,,,
逗,"funny (as in amusing, interesting)",dòu,逗,,,,,,,,
小伙子,young man<br>lad<br>younster,xiǎohuǒ zi,小伙子,,,,,,,,
眼花,dazzled<br>vauge and/or blurred vision,"""<span class=""""tone3"""">yǎn</span><span class=""""tone1"""">huā</span> <!-- yan hua -->""","""<span class=""""tone3"""">眼</span><span class=""""tone1"""">花</span>""",,[sound:眼花_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>眼<rt>yǎn</rt></ruby></span><span class=""""tone1""""><ruby>花<rt>huā</rt></ruby></span>""",_ _,
看得我眼花,...dazzled me,kàn dé wǒ yǎnhuā,看得我眼花,,,,,,,,
呲啦呲啦,onamatopoeia for sizzling (of oil on food),cī la cī la,呲啦呲啦,,,,,,,,
有多宽？,How wide?,Yǒu duō kuān?,有多宽？,,,,,,,,
饮水机,"water dispenser (bubbler, freestanding,... anything)",yǐnshuǐ jī,饮水机,,,,,,,,
裤带,belt (not 腰带),kùdài,裤带,,,,,,,,
郊游,outing/excursion<br>to go on an outing/excursion,jiāoyóu,郊游,,,,,,,,
新奇,novelty<br>novel,"""<span class=""""tone1"""">xīn</span><span class=""""tone2"""">qí</span> <!-- xin qi -->""","""<span class=""""tone1"""">新</span><span class=""""tone2"""">奇</span>""",,[sound:新奇_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>新<rt>xīn</rt></ruby></span><span class=""""tone2""""><ruby>奇<rt>qí</rt></ruby></span>""",_ _,
封城,lockdown (of a city),fēng chéng,封城,,,,,,,,
掐,"to choke<br>to pinch, to squeeze","""<span class=""""tone1"""">qiā</span> <!-- qia -->""","""<span class=""""tone1"""">掐</span>""",,[sound:掐_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>掐<rt>qiā</rt></ruby></span>""",_,
掐死,to choke to death,qiāsǐ,掐死,,,,,,,,
斜杠,slash (character in computing),xiégàng,斜杠,,,,,,,,
瞬间,"a moment in time<br>in an instant, in a flash","""<span class=""""tone4"""">shùn</span><span class=""""tone1"""">jiān</span> <!-- shun jian -->""","""<span class=""""tone4"""">瞬</span><span class=""""tone1"""">间</span>""",,[sound:瞬间_google_zh-CN.mp3],,瞬間,,"""<span class=""""tone4""""><ruby>瞬<rt>shùn</rt></ruby></span><span class=""""tone1""""><ruby>间<rt>jiān</rt></ruby></span>""",_ _,
骆驼,camel,luòtuo,骆驼,峰(fēng),,,,,,,
狗仔队,the paparazzi,"""<span class=""""tone3"""">gǒu</span><span class=""""tone3"""">zǎi</span> <span class=""""tone4"""">duì</span> <!-- gou zai dui -->""","""<span class=""""tone3"""">狗</span><span class=""""tone3"""">仔</span><span class=""""tone4"""">队</span>""",,[sound:狗仔队_google_zh-CN.mp3],,狗仔隊,,"""<span class=""""tone3""""><ruby>狗<rt>gǒu</rt></ruby></span><span class=""""tone3""""><ruby>仔<rt>zǎi</rt></ruby></span><span class=""""tone4""""><ruby>队<rt>duì</rt></ruby></span>""",_ _ _,
米粉,rice flour,mǐfěn,米粉,,,,,,,,
凶,fierce<br>fearful,xiōng,凶,,,,,,,_,
说谎,to tell a lie (w/ sh),shuōhuǎng,说谎,,,,,,,_ _,
贵族,lord/lady<br>aristocrat<br>aristocracy<br>nobility,gui4zu2,贵族,,,,,,,,
皇室,the royal household<br>the imperial family,huángshì,皇室,,,,,,,,
惨,tragic<br>awful<br>miserable<br>wretched,cǎn,惨,,,,,,,,
近亲,close relatives (w/ j),jìnqīn,近亲,,,,,,,,
抑郁症,depression (clinical),yìyù zhèng,抑郁症,,,,,,,,
畸形,dysfunctional<br>deformity<br>abnormality,"""<span class=""""tone1"""">jī</span> <span class=""""tone2"""">xíng</span> <!-- ji xing -->""","""<span class=""""tone1"""">畸</span><span class=""""tone2"""">形</span>""",,[sound:畸形_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>畸<rt>jī</rt></ruby></span><span class=""""tone2""""><ruby>形<rt>xíng</rt></ruby></span>""",_ _,
木偶,puppet,"""mù'ǒu""",木偶,,,,,,,,
蛋黄,yolk (of an egg),"""<span class=""""tone4"""">dàn</span><span class=""""tone2"""">huáng</span> <!-- dan huang -->""","""<span class=""""tone4"""">蛋</span><span class=""""tone2"""">黄</span>""",,[sound:蛋黄_google_zh-CN.mp3],,蛋黃,,"""<span class=""""tone4""""><ruby>蛋<rt>dàn</rt></ruby></span><span class=""""tone2""""><ruby>黄<rt>huáng</rt></ruby></span>""",_ _,
彼此,one-another (w/ b),bǐcǐ,彼此,,,,,,,,
不安全感,insecurity (the feeling),bù ānquángǎn,不安全感,,,,,,,,
安全感,(sense of) security,ānquán gǎn,安全感,,,,,,,,
