Hanzi,Meaning
上市,to hit the market (not 出售)
优步,Uber (company)
滴滴,Didi (company)
保障,to ensure<br>to guarentee/safeguard (not 保证)<br>to safeguard
退市,to exit the market<br>to be delisted (of a stock)
反复,repeatedly (w/ 反)<br>over and over
腾讯,Tencent (Investment Holding Conglomerate)
声明,"a statement (by an important individual, organization - w/ sh)<br>a declaration"
英勇,heroic (w/ y)<br>valiant
光荣,honor (w/ g)
广场,plaza/square
鲜明,bright (w/ x)<br>clear-cut<br>distinct
照亮,to illuminate<br>to light up<br>lighting
规矩,manners<br>to behave/good-behavior
规律,rule (of nature)<br>discipline<br>regular (pattern)
结账,"to check-out (from hotel, store)"
切碎,to chop (w/ q)
国籍,nationality
不分,irrespective of...<br>to not distinguish between...
雇佣,to employ (w/ g)<br>to hire
国庆节,National Day
树干,tree trunk
果实,fruit (w/ g)
海关,customs (as in border crossing inspection)
胡同,Hutong<br>lane<br>alley
沏,to steep (tea)
蝴蝶,butterfly
飞蛾,moth
种类,kind (w/ zh)<br>variety<br>species
渴望,to thirst for<br>to long for
航行,to sail<br>to fly<br>to navigate
罗盘,compass
搜查,"to search (of police, customs, etc)"
不顾,despite...<br>inspite of...
割破,to cut (skin)<br>a cut
花生,peanut
蜂蜜,honey
幻想,fantasy<br>delusion
皇后,empress<br>imperial consort
提升,"to promote (at job, not 升职)"
决心,determination<br>resolution<br>determined<br>resolute
下定决心要...,"""to make up one's mind to..."""
留宿一晚,to stay an evening (w/ l)
留宿,to stay overnight<br>to put up a guest
建造,"to build, construct (an item)"
胶水,glue
间隙,a gap (w/ j)
填,"to fill (a gap, cavity)<br>to fill in (a form)"
浓,"thick (as in concentrated, dense)"
稀,"thin (as in watery, sparse)"
飞船,spaceship<br>airship
英尺,foot (0.3 meters)
气体,a gas (n.)
地下室,basement
我来了你的家,I came to your house. (了 past tense loc.)
我来你的家了,"""I've come to your house. (了change of state loc)"""
瑞典,Sweden
助词,particle (grammatical)
时态,(verb) tense
现在时态,present tense
过去时,past tense
将来时,future tense
额外,extra (w/ e)
额外支付,to pay extra<br>additional payment
响,ring (sound)<br>to ring<br>echo
倒时差,jetlag
维度,dimension (math)<br>dimensionality
昏迷,coma<br>to be in a coma
万一,what if... (something undesireable and highly unlikely)<br>in the unlikely event that...
报警,to call the police
...以防万一,...just in case
相符,is consistent with<br>to match (not 相配)
攀岩,rock climbing
语音书,audiobook
脚踏,pedal (n.)
踩脚踏,to pedal
老套,hackneyed<br>well-worn<br>clichéd
亲戚,relatives (family relation - not 家人)
评价,"to evaluate, to assess<br>comments, reviews, opinions (not 评论)"
含量,content (as in quantity contained)
蛋白质含量,protein content
谨慎,"cautious, prudent"
布满,to be covered with (w/ b)<br>to be filled with
台子,"counter (in a kitchen, etc...)"
发电厂,power plant
周末愉快!,Have a good weekend!
氢,hydrogen
氧,oxygen (chemistry)
纯氢,pure hydrogen
消耗,to consume/use (not 消费)
体感温度,apparent temp (meteorology)
甲烷,methane
干冰,dry ice
网红,an internet celebrity
一氧化碳,carbon monoxide (CO)
氧化,to oxidize
碳,carbon
二氧化碳,carbon dioxide (CO2)
排放,emissions<br>discharge<br>exhaust
温室,a greenhouse
温室气体,greenhouse gases
脱水,to dehydrate<br>dehydrated
燃料,fuel
化石燃料,fossil fuel
邮件,mail
金属,metal
证书,certificate<br>credentials
原材料,raw materials
芯片,(computer) chip
后勤,logistics
大理石,marble
通风,ventilation<br>to ventilate<br>ventilated
效应,effect (as in scientific phenomenon)
融合,harmony<br>to be in harmony with<br>amalgamation<br>fusion
人体,the human body
整体上。。。,overall...<br>altogether...
恐怖,frightening<br>frightful<br>terrible
场面,scene (as in situation)<br>spectacle
恐惧,fear<br>dread
吞没,to engulf<br>to swallow up
遗嘱,will (legal document)
立下遗嘱,to make out a will
打哆嗦,to tremble<br>to shiver<br>to shudder
退缩,to cower<br>to shrink
跨,to step across<br>to straddle<br>to span
赤脚,barefoot
克服,to overcome<br>to endure<br>to conquer
山谷,valley<br>ravine
竖起大拇指,Thumbs up!<br>to give a thumbs up
大拇指,thumb
录制,to record (video or audio)
不足,"insufficient, lacking (not 不够)"
陪伴,to accompany<br>accompaniment<br>company
质疑,to call into question...
眼球,eyeball
风化,decency<br>public morals<br>to weather/erode<br>erosion
裸体,naked
峡谷,canyon
大峡谷,the Grand Canyon
行人,pedestrian<br>passer-by<br>traveler on foot
瀑布,waterfall
洞穴,cave<br>cavern
老手,an old-hand (experienced person)
成名,"""to make one's name<br>to become famous<br>"""
降级,to demote<br>to relegate<br>to degrade
冒险,to take risks
跳跃,to jump<br>to leap
任意,at will<br>at random
顶端,peak (w/ d)<br>summit
触碰,to touch (but not nec. to feel)
感知,perception<br>awareness
在那上面,up there
穿上去,to put on (clothes)
背着他们做,to do (something) behind their backs
快感,thrill<br>pleasurable high
单调,monotonous
枯燥,dry and dull
不断,unceasing<br>continuous
骂,to scold<br>to curse
支流,tributary (river)
笔记,notes<br>to take down in writting
默写,to write from memory
社交活动,social activities
中档,mid-grade<br>middling quality
低档,low-grade<br>low quality
结果是。。。,turned out to be...
高档,high-grade<br>superior quality
乌克兰,Ukraine
过头,to overdo it (w/ g)<br>excessive
实惠,affordable<br>economical
讲究,to be particular about<br>to pay particular attention to
祛暑,to drive away the heat
祛,to drive away<br>to dispel
下列。。。,the following...
恋人,lover<br>sweetheart
上级,superiors<br>higher-ups
特色,a distinguishing feature or quality<br>characteristic
风味,"""something's distinctive flavor or style"""
浓重,rich (of food or colors)<br>strong<br>thick/heavy
主食,staple (as in main food)
稻米,rice (not 大米)
小麦,wheat
体会,"experience, understanding (not 体验)"
久而久之,over time
赢家,winner
输家,loser
焦虑,"axious, anxiety (not 紧张)"
门槛,threshold (fig. and lit.)
视角,perspective
世界的啤酒之都,the beer capital of the world
凝乳,curd
食材,(food) ingredient (w/ sh)
原型,"model, prototype, archetype - not 模型"
指定,to indicate<br>to designate<br>the indicated<br>the designated
不管怎么说,whatever anyone says...<br>no matter what...
投票,to vote<br>vote
美丽,beautiful
因素,factor<br>element
清晰,"clear, distinct (of an image, not 清楚)"
清晰度,definition<br>sharpness<br>clarity
并,"and, also (w/ b)<br>(not) at all"
餐会,dinner party<br>luncheon
甜点,dessert (not 甜品)
敬酒,to propose a toast (not 干杯)<br>to make a toast
一家三口,a family of three
吐司,toast
脑子里一片空白,"""my mind's a blank"""
提示,hint
存款,to deposit (in a bank)<br>a deposit
曼哈顿,Manhattan
幸运,lucky
有线电视,cable TV
香料,spices
娱乐圈,entertainment industry
顾虑,misgivings<br>apprehensions
信用卡都刷爆了,"""to max out one's credit card"""
喝冷水都会塞牙缝,so unluckly he gets cold water stuck in his teeth
生动,"vivid, lively (not 生机)"
摇滚乐,"""rock 'n roll"""
首选,first choice
直白,"blunt, straightforward (w/ zh)"
封锁,to blockade<br>to lock down<br>to seal off
倒霉,to have bad luck<br>to be out of luck
戒严,martial law<br>to impose martial law
多谢多谢,thank you! (colloquial)
水费,the water bill
包含,to include - to consist of (not 包括)
爱德华,Edward
少花钱,to spend less money
买不起,to be unable to afford (as in buying a thing)
付不起,unable to afford (as in a payment)
介绍他到。。。,to introduce him to (smbdy)
进退两难,to be in a dilema (colloquialism)<br>to be in an impossible situation
写字楼,office building
数码,digital
聚焦,focus
主题曲,theme song
转化器,converter (device)
股市,the stock market
魔法,magic
被罚,to be punished<br>to be fined
核武器,nuclear weapons
抗美援朝,the Korean War
航天员,astronaut
医学院,medical school
戒指,ring (on a finger)
好奇心,curiosity
精神病,mental illness
悲哀,sorrow
虚拟,"fictitious, virtual"
优越,"superior, superiority"
优越感,sense of superiority
满足感,sense of satisfaction
朗读,to read aloud
搭配,to match (w/ d)<br>to pair up<br>matching (adj.)
格局,layout
冲锋衣,jacket
款式,style (as in pattern/design)
宽松,"loose (of clothing, policy, etc.)<br>to loose"
棉,cotton
脸色,complexion (of face)
得体,appropriate to the occasion (w/ d)<br>fitting
棉衣,cotton padded clothes
上旬,the first ten days of the month
羽绒,down (feathers)
尺寸,"size, dimensions, measurements"
提交,to submit (smth to sbdy w/ t- not 提出)
订单,a (purchase) order
退货,to return (merchandise)
靴子,boots
汇,to transfer (money)<br>to wire
委托,to entrust...<br>comission (to do something)
传教士,missionary
利玛窦,Matteo Ricci
场馆,arena<br>sporting venue
公众,the public
对公众开放,to open to the public
内脏,internal organs (w/ n)
切成片,to cut into slices
切成丝,to shred<br>to cut into shreds
切成末,to finely chop
世界级,world-class
奥林匹克,Olympic<br>the Olympics
无比地,incomparably...
指甲,fingernail
脚指甲,toenail
浸泡,to soak<br>to marinate<br>to steep
羊毛,wool
项链,necklace
夹克,jacket
鱿鱼,squid
炒,to saute<br>to stir-fry
精美,fine (as in excellent - w/ j)
紧急,urgent
疑问,doubt (w/ y - n.)
我没有疑问,"""I don't doubt it"""
盈利,profit (w/ y)<br>to make profits
菜色,dishes (on a menu)
缴费,to pay a fee
投篮球,to shoot a basket (basketball)
提问,to question
向他提问,to question him<br>to ask him a question
穿着,attire<br>dress (n.)
连锁,chain (store etc)
连锁酒店,a hotel chain
因。。。而出名,to be famous for...
在饮食上花钱,to spend money on food
厄瓜多尔,Ecuador
光着腿。。。,(to do something) bare legged
墨镜,sunglasses
女装,"""women's clothing"""
男装,"""men's clothing"""
优雅,elegant (not 优美)<br>graceful
记不起来,"""can't remember... (as in can't commit to memory)"""
自我尊重,self-respect
关节,joints
购物车,shopping cart
生活缴费,living expenses
门锁,lock (n. - of a door)
断续,intermittent
断断续续地,intermittently...
水暖工,plumber
天花板,ceiling
赤裸,naked (adj.) w/ ch
截肢,to amputate
皈依,to convert to (religion)
皈依成为基督教徒,to convert to christianity
裹脚,"""foot binding<br>to bind one's feet<br>"""
首要,"primary, of chief importance"
首要原因,the primary reason
安心,"""peace of mind<br>to set one's mind at ease<br>"""
轰动,to cause a sensation/commotion<br>a sensation
碰巧,by chance...<br>by coincidence...
A&nbsp;付给 B,A pays B
定制,custom made<br>to have something custom made
无意义,meaningless
搜索,to search (a place/database/google)
参与,to participate (deeper than 参加)
独自,alone (w/ du)
业余,amateur... (adj)
业余钢琴手,amateur pianist
谐音,homophone (n.)<br>homophonic (adj.)
我们很赶,we are in a hurry
娱乐设施,recreational facilities
桌球,pool<br>billiards
睡午觉,to take an afternoon nap
贴纸,sticker
建筑工人,construction worker
建筑师,architecht
涂鸦,graffiti
塞车,traffic jam
停车,"""to park (of one's vehicle)<br>to pull up (stop one's vehicle)<br>"""
有心,considerate<br>to have a mind to...<br>to intend to...
承包商,contractor
远程工作,to work remotely
托付,to entrust (not 委托)
凌晨,the very early morning (w/ l)
无尾礼服,tuxedo (w/o tails)
喷,to spray
喷涂鸦,to spray graffiti
天文台,(astronomical) observatory
望远镜,telescope<br>binoculars
堕胎,abortion<br>to have an abortion
强奸犯,rapist
同义词,synonym
强奸,to rape (not 强暴)
超过一定的时期之后,after a certain period of time
联盟,alliance<br>coalition
曲奇饼,cookie (transliteration)
已经做好的披萨饼皮,pre-made pizza crust
罗勒,basil
香肠,sausage
阿拉丁,Aladdin
音乐剧,musical (theater)
克隆,clone
平行宇宙,parallel universe
平行,parallel
A和B平行,A is parallel to B
证伪,to disprove<br>to falsify
无限的,unlimited<br>infinite
定义,definition (w/ d)<br>to define
太阳系,solar system
私立学校,private schools
公立学校,public schools
厨艺,cooking (n.)
说来话长。。。,"""It's a long story...<br>a long story<br>"""
解放,to liberate<br>to free<br>to emancipate
奴隶,slave
酒鬼,alcoholic (person)
部落,tribe
学术,academics<br>learning<br>academic (adj.)
装作,to pretend (w/ zh)
掉头,U-turn<br>to make a U-turn
腹痛,bellyache<br>stomach pain
腹泻,diarrhea
恶心,nausea<br>nauseating<br>disgust<br>disgusting
条码,barcode (not QR code)
供应商,supplier (business)
捐赠者,donor<br>contributor
抽血,to draw blood
我不好说,"""I can't say..."""
我差一点忘了...,I nearly forgot...
仪式,ceremony
婚礼仪式,wedding ceremony
新郎,groom
新娘,bride
婚纱,wedding dress
头纱,veil (wedding)
掀开,to lift open
掀,to lift (a lid-type thing)
姐妹团,wedding party (brides)
伴郎团,"""wedding party (groom's)"""
我擅长...,"""I'm good at..."""
心动,heartbeat (not 心跳)
激情,passion
我前女友,my previous girlfriend
悸动,to throb (w/ j)<br>throbbing<br>to pulse<br>pulsing
一见钟情,love at first sight
接,to answer (the phone)
接一通电话,to answer a phone call<br>to take a call
漏接,to miss (a phone call)
漏接一通电话,to miss a phone call
亲近的朋友,a close friend
接球,to catch a ball
婚礼誓词,wedding vows
誓词,vow
手捧花,(bridal) bouquet
台词,lines (of dialogue)
野蛮人,barbarian
黑社会,(criminal) underworld
黑手党,the mafia
对待,to treat (someone someway)<br>treatment (not 待遇)
谷物片,(breakfast) cereal
玉米片,"""(Kellog's) corn flakes<br>tortilla chips<br>"""
燕麦粥,oatmeal<br>porridge
燕麦,oats
崩溃,to collapse (w/ b)<br>to crumble<br>to fall apart
富得流油,filthy rich
放鸽子,to stand someone up
红得发紫,popular in the extreme
兜比脸干净,pockets cleaner than your face (to express poverty)
贬值,to depreciate<br>to become devalued
基金,a fund (financial - w/ j)
理财,financial management
街区,a block (between streets)
上进心,ambition<br>motivation
雄心,(great) ambition<br>lofty aspiration
有雄心,ambitious (great and lofty)
土著,natives<br>indigineous people
赶出去,to kick (smbdy) out (w/ g)<br>to drive out
脱口秀,talk show
魔术师,magician
城市化,urbanization
游戏玩家,a gamer
终点线,the finish line
到达终点线,to reach the finish line
市值,market value
生疏,rusty (out of practice)
通货膨胀,inflation (monetary)
偶然,accidentally (w/ ou)<br>incidentally
给他们加油,to cheer them on
手段,means (of doing something)
危害,harm<br>harmful (w/ w)
劝告,"to advise, to urge<br>advice<br>exhortation"
中病毒,to contract a virus
天南地北地聊,to talk about this and that
玛丽,Mary (name)
幸好,fortunately... (w/ x)
分类,classification (w/ f)<br>to classify
达人,expert (w/ d)
拼音,pinyin
关羽,Guanyu (historical/legendary figure)
身在曹营心在汉,"body in Caoying, heart in Han (chengyu)"
胡吃海塞,to stuff oneself with food (chengyu)
百年一遇,once in a century
人山人海,"people like a mountain, people like a sea (chengyu)"
习以为常,something which one has become accostomed to (adj.)<br>to be taken for granted (adj.)<br>to take something for granted (n.)
温馨,"homey, warm, comfortable (of a place)"
悬空,"suspended (as in hanging, floating)<br>uncertain"
欣赏,to appreciate (w/ x)<br>to admire
无知,ignorance (w/ w)<br>ignorant
床架,bed frame
八卦,gossip<br>gossipy
亚利桑那,Arizona
神圣,sacred<br>hallowed<br>holy
鼠标,mouse (computing)
前提,premise<br>precondition
帮佣,the help (n. - as in servants)
满洲,Manchuria
汉人,a Han Chinese person
满人,a Manchu
流放,to exile<br>to banish
青铜,bronze
蝙蝠,bat
蝙蝠侠,Batman
频繁,frequently (w/ p)<br>often
电子设备,electronic device
压缩,to compress<br>compression
刚起步,fledgling<br>start-up...
刚起步公司,a start-up (company)
菜鸟,rookie<br>beginner
虚拟现实,virtual reality
陪我的家人,to spend time with my family
碎片,chip<br>fragment<br>splinter<br>pieces
拉丁语,latin (language)
荒蛮之地,wilderness (land of desolation and barbarians)
微软,Microsoft
死亡证明,death certificate
结婚证,marraige certificate
警惕,"to be alert, vigilant<br>alert"
煤气漏,a gas leak
相对论,relativity<br>the theory of relativity
时空场,the space time continuum
时空,spacetime
近似,approximation<br>approximately
弯曲,"to curve, bend, warp<br>curved"
曲率,curvature (n. - mathematics)
原理,"principle (logical, scientific, etc...)"
质量中心,the center of mass
绕地球运行,to orbit the Earth
椭圆,"ellipse, elliptic<br>oval"
三角形,triangle
路径,"path, route, method (w/ l)"
睡得深,to sleep deeply
睡得浅,to sleep lightly
彩虹糖,skittles
迷信,superstition<br>superstitious
十年,decade
跟踪消息,to follow the news
我猜最可能是。。。,My best guess is...
失眠,insomnia<br>to suffer from insomnia
保健品,health product
明智,"wise, sensible, judicious (w/ m)"
广义,broad sense<br>general sense
广义相对论,General Relativity
狭义相对论,special relativity
狭义,in a narrow sense<br>in a restricted sense
尿床,to wet the bed
罗马,Rome
香港,Hong Kong
体现,to reflect<br>to embody
吃力,strenuous<br>laborious
路程,distance travelled<br>course (of development)
终点,the end<br>end point<br>destination
轻轨,transit system<br>light rail<br>streetcar<br>metro
铁轨,rail<br>track<br>railroad track
正轨,"""""""the right track"""""""
度假,to go on a holiday (w/ d)
圈,"circle (not exact - loop, donut, anything with hole)"
完善,perfect (not 完美)<br>to perfect (v.)
坡,a slope (like the side of a hill)
绑,to tie (w/ b)
白白...,...for nothing<br>...in vain
高峰,peak (literal and fig. - not 顶端)<br>summit
专用,designated...<br>dedicated<br>for special use
好在...,fortunately... (w/ h)
见闻,what one has seen and hear<br>experiences
造反,to rebel (w/ z)<br>to revolt
伤口,wound (w/ sh)<br>cut
皱眉,"""to knit one's brow<br>to frown<br>"""
萝卜白菜各有所爱,"""<br>to each his own<br>there's a lid for every pot"""
丰腴,plump<br>full-bodied<br>full-figured
情人眼里出西施,beauty is in the eye of the beholder<br>lit. in the eyes of a lover appears Xishi
害群之马,"black sheep, rotten apple<br>lit. a horse that brings trouble to its herd"
星座,constellation<br>astrological sign
在伤口上撒盐,to rub salt in the wound
脚跟,heel
独立日,Independence Day<br>July 4th
星际大战,Star Wars
憎恶,to abhor<br>to detest<br>to have a special hatred
咬痕,bite (mark)
边境,border (not 边界)<br>frontier
括号,brackets<br>parentheses
护栏,guardrail<br>protective barrier
围栏,fence
指示牌,sign (specifically for directions)
礼让,to yield (to another)<br>to show consideration (for another)<br>to show courtesy<br>courtesy
以上几个选择,the above options
学校所在的城市,the city in which the school is located
哈雷,Harley-Davidson
凶巴巴,fierce<br>savage<br>harsh
闯红灯,to run a red light
生活方式,lifestyle
冲浪,to surf
航海,to sail (specifically by sea)
钻孔,to drill (a hole)
电钻,electric drill
持枪,armed<br>to arm oneself (with guns)<br>to bear arms
俱乐部,a club (organization)
发带,headband
无限量,unlimited
选项,option (not 选择)
跑步机,treadmill (exercise equipment)
滤镜,filter (photography)
限量,limit (n.)<br>to limit (v.)
单轮车,unicycle
三轮车,tricycle
注意力,attention (n.)
分散,to scatter<br>to disperse
步伐,stride<br>pace
清凉,"cool, refreshing (not 凉快)<br>skimpy, revealing"
健壮,"fit (as in built, robust, sturdy, healthy)"
嫌犯,suspect (of crime)
凶手,murderer
屁股,butt
挺直,upright
颠倒,to turn upside-down<br>to turn inside-out<br>confused
摆臂,"""to swing one's arms"""
脉络,veins
腋窝,armpit
背,back (anotomical)
躯干,torso
上半身,upper body
下半身,lower body
鼻孔,nostrils
舌,tounge
眼皮,eyelid
胸部,chest<br>bosom
指关节,knuckles
食指,index finger
中指,middle finger
无名指,ring finger
小拇指,pinky finger
手掌,"""palm (of one's hand)"""
脏腑,internal organs (w/ z)
肝,liver
胃,stomach
大肠,large intestine
小肠,small intestine
阴部,genitals
腰胯,hips
膀胱,bladder
大腿,thigh
小腿,lower leg
胫,shin
腿肚子,calf (of the leg)
脚底,soles (of the foot)
脚脖子,ankle
细胞,cell (biology)
把手,handle
椭圆机,elliptical machine (excercise)
倒数第二堂课,the second to last lesson (w/ d)
处方,to prescribe<br>a medical prescription
开处方,to make a prescription
可行,feasible
运营,"operation, service<br>to be in operation, to be in service"
博主,blogger
思维,"thinking, thought (not 思想 or 思考 - more like active consideration)"
折射,to refract<br>refraction
恶性的循环,vicious cycle
循环,a cycle<br>to cycle<br>circulation
恶性,vicious (cycle)<br>malignant (producing evil)<br>runaway...
白热化,white-hot<br>intense
挫折感,"frusteration (feeling of setback, defeat)"
不确定性,uncertainty
确定性,certainty<br>determinacy (predictability)
⼴场,"plaza, square"
鲜明的灯火,bright lights
粘,"to adhere, to bond, to glue (w/ zh)"
深受,to receive deeply
球员们,players (of a ball related sport)
更衣室,locker room<br>changing room
结论,conclusion (logical)<br>to conclude
解说员,commentator (w/ j)
借口,an excuse
钻石,diamond
景色,scenery (w/ j)
救护车,ambulance
救护,to rescue<br>to administer first aid
均匀,"even, evenly<br>well distributed"
开幕式,opening ceremony
烤鸭,roast duck
增长数,growth (amount of)
净增长数,net growth
净,net- (prefix)
总数,"total (as in number)<br>sum, aggregate"
出生率,birth rate
比率,ratio<br>rate
卵子,ovary<br>eggs
转嫁给他们...,to pass on to them...
转嫁,"to pass on (blame, cost, something unpleasant...)"
育儿,to raise a child (w/ 育)
除去A，。。。,excluding A ...
人生观,outlook on life
托运,"to check (bags, etc.)"
误,to delay (w/ w)
人性化,user-friendly<br>people-oriented
异性,the opposite sex
封,to seal<br>measure word for sealed objects
目光,sight (n. - a thing to see w/ m)<br>gaze
浇,to pour (liquid)<br>to water (flowers)<br>to cast (metal)
调料,"seasonings, flavorings"
指头,"finger, toe"
腰带,belt
笔画,stroke (of a chinese character)
逗,"funny (as in amusing, interesting)"
小伙子,young man<br>lad<br>younster
眼花,dazzled<br>vauge and/or blurred vision
看得我眼花,...dazzled me
呲啦呲啦,onamatopoeia for sizzling (of oil on food)
有多宽？,How wide?
饮水机,"water dispenser (bubbler, freestanding,... anything)"
裤带,belt (not 腰带)
郊游,outing/excursion<br>to go on an outing/excursion
新奇,novelty<br>novel
封城,lockdown (of a city)
掐,"to choke<br>to pinch, to squeeze"
掐死,to choke to death
斜杠,slash (character in computing)
瞬间,"a moment in time<br>in an instant, in a flash"
骆驼,camel
狗仔队,the paparazzi
米粉,rice flour
凶,fierce<br>fearful
说谎,to tell a lie (w/ sh)
贵族,lord/lady<br>aristocrat<br>aristocracy<br>nobility
皇室,the royal household<br>the imperial family
惨,tragic<br>awful<br>miserable<br>wretched
近亲,close relatives (w/ j)
抑郁症,depression (clinical)
畸形,dysfunctional<br>deformity<br>abnormality
木偶,puppet
蛋黄,yolk (of an egg)
彼此,one-another (w/ b)
不安全感,insecurity (the feeling)
安全感,(sense of) security
世界观,worldview<br>outlook
价值观,system of values
信任感,sense of trust
人性,human nature<br>humanity
理想化,to idealize
毁掉,to destroy
磨合,to break (smth) in
代数,algebra
发布,"to post (on social media, etc.)"
里程碑,milestone
狂魔,"madman, maniac"
登录,to log in (to a website)<br>to register
磁场,magnetic field
电场,electric field
电磁场,electromagnetic field
声波,sound wave (w/ sh)
疲惫,"exhausted, beaten, tired"
暂停,to pause<br>a pause<br>a time out (in sports)
多任务,multi-tasking
吹散,to blow away (to disperse)
引力,gravitation (w/ y)<br>gravitational
大气,"atmosphere (as in, the air)"
灾难,disaster<br>catastrophe
时间机器,time machine
生机,vitality (not 活力)<br>life force
发展中国家,developing country
保温杯,a thermos (for keeping liquids warm/cold)
应对,response (w/ y)<br>to reply
露面,"""to show one's face<br>to appear (in public)"""
银河,the Milky Way
按,to press (a button)
请按1,please press 1
难以相信,difficult to believe<br>unbelievable
甜甜圈,donut
用铜修建的,built of copper
她比我还大,"""she's even bigger than me"""
卷,to roll up<br>a roll<br>measure word for small rolled things
恐怖分子,terrorist
携带,"""to carry on one's person (w/ x)"""
炸弹,bomb
一般,ordinary<br>so-so<br>common
惊奇,to be amazed (w/ j)<br>to wonder<br>to be suprised
短路,to short circuit
筋,tendons or veins under the skin
过时,out of date (w/ g)<br>old-fashioned<br>to be late
图案,"design, pattern (w/ t)"
花盆,flower pot
盆,"basin, pot"
隱形,invisible
企鹅,penguin
嵌入,to insert<br>to embed
条纹,stripe
窗帘,curtains
遮阳,"parasol, shade<br>something that shields from the sun<br>to shield from the sun"
窗台,window sill/ledge
边缘,edge<br>fringe<br>margin
海鸥,sea gull
树丛,bush<br>thicket/undergrowth
藤,vines
脱衣舞,striptease
瞳孔,pupil (of the eye)
色盲,color-blind<br>color blindness
烟囱,chimeny
水母,jellyfish
门垫,doormat
海绵&nbsp;,sponge (both animal and tool)
海马,sea horse
任天堂,Nintendo
靠中间,...toward the middle
脑子短路了,my brain shorted (out)
上半部分,the top half<br>the first half
下半部分,the second half<br>the bottom half
右上角,the top right corner
左下角,bottom left corner
右下角,bottom right corner
左上角,top left corner
围兜,bib
厚板,slab<br>plank
下水道,sewer
井盖,manhole cover
锚,anchor
维也纳,Vienna
俗套,"""cliche' (w/ s)"""
灵魂伴侣,soul mate
如果你非要这么说,If you say so...
剧透,spoiler (media)
向日葵,sunflower
晴朗,sunny and clear
日出,sunrise
黄昏,dusk
黎明,dawn (w/ l)<br>daybreak
一夜情,one night stand
最后,finally (short period of time)<br>final
刮伤,scrape/scratch (wound)
顺着,along (w/ sh)<br>following
逆着,contrary<br>against (direction)
抹,to wipe<br>to smear
魔,devil/magic
弄湿,to get wet<br>to dampen
弯腰,to stoop<br>to bend over
这是常事,It happens. (This is the norm)
血液循环,blood circulation
浴室,bathroom (w/ y)
浴花,bath sponge (more common than 欲求)
吹风机,hair dryer
梳,to comb
逆着胡子长的方向刮,to shave against the grain
顺着胡子长的方向刮,to shave with the grain
耶路撒冷,Jerusalem
天使,angel
希腊语,Greek (language)
希腊,Greece
定罪,to convict (of a crime)
权柄,authority (as in power)
明灯,beacon
安息日,the Sabbath
摩西,Moses
差,to send (biblical)<br>to commission (a messenger/mission)
复活,to resurrect<br>resurrection
约瑟,Joseph
争论,contention (w/ zh)<br>to contend<br>disputation<br>to debate
西门,Simon
犹大,Judas
加略人犹大,Judas Iscariot
失落,to lose (something)<br>to feel a sense of loss<br>loss
丢弃,to discard (w/ d)<br>to abandon
吗哪,manna (bread from heaven)
永生,eternal life<br>immortality<br>to live forever
拉比,Rabbi
旷野,wilderness
先知,prophet
迦百农,Capernaum
安得烈,Andrew
彼得,Peter
腓力,Philip
门徒,disciple
神迹,miracle (w/ sh)
加利利,Galilee
逾越节,the Passover
适应性,adaptability (not 灵活性)
陆军,the army<br>ground forces
夜生活,nightlife
平静,tranquil (w/ p)<br>serene
短暂,of short duration (w/ d - adj.)<br>momentary<br>brief
冒险家,adventurer
未知,unknown<br>the unknown
西藏,Tibet
藏族,Tibetan
后备军,backup (people - army)
毫不犹豫,without the slightest hesitation
毫不,not in the least<br>not at all<br>hardly
困境,dilemma<br>predicament<br>plight
解救,to rescue (w/ j)<br>to help out in difficulties
开导,to enlighten<br>to talk somebody round
味觉,(sense of) taste
嗅觉,(sense of) smell
触觉,(sense of) touch
听觉,(sense of) hearing
视觉,(sense of) sight
宁静,tranquil (w/ n)
浮,to float
溅,to splash
海滨,seaside
沙滩,beach (w/ sh)
推荐,to recommend
咖啡溅得到处都是,the coffee splashed everywhere
湿纸巾,wet-wipe
季前赛,the preseason (sports)
季后赛,the post-season
对白,"dialogue (of a movie, etc)"
清洁,to clean (not to wash - 清洗)
清洗,to wash (not to clean - 清洁)
强制,"mandatory, compulsory"
意志,willpower<br>determination<br>will
文书官,a clerk
征求,to solicit<br>to petition<br>to seek
终止,to terminate
解散,to disband<br>to dissolve (a body)
协助,to assist (w/ x)<br>to aid
部队,a force (military)
火花,spark (not 闪烁)<br>sparkle
粗俗,vulgar
打靶,target<br>target shooting<br>to go target shooting
长达3天,up to 3 days
舍命,to lay down ones life
撒但,Satan
蘸,to dip (into a liquid)
蘸着巧克力的饼干,cookies dipped in chocolate
递给,to hand something (to someone - not 交给)
胸膛,chest (not 胸部)
仆人,servant
万有,All Things
他爱他们到底,He loved them to the end.
永存,everlasting
应验,to be fulfilled (of a prophecy)<br>to come true
字体,font<br>typeface
加粗,bold (of text)<br>to make bold
斜体,italics (of text)
最大化,to maximize (a window on the computer)
最小化,to mimize (a window on a computer screen)
桌面,desktop (main computer screen)
重做,redo
撤销,undo
图标,icon (computing)
剪切,"""to cut (as in """"cut-and-paste"""")"""
粘贴,"""to paste (as in """"cut-and-paste"""")"""
复制,"""to copy (as in """"copy-and-paste"""")"""
选中,to highlight (on the computer)<br>to select
保存,to save (computing)
运行,to run (computing)
首页,homepage (internet)
台式电脑,desktop computer
外交,foreign affairs<br>diplomacy
手提电脑,laptop (w/ sh)
